,인허가일자,상세영업상태코드,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
96675,20201007.0,1,서울특별시 성북구 동소문로 24 광명빌딩 1층 (동소문동2가),2860.0,담꾹 한성대역점,200706.9259,454119.6448
96952,20201012.0,1,서울특별시 강서구 화곡로72길 62 가양글로벌퍼스트 103동 1층 104호 (가양동),7534.0,땅스부대찌개가양점,187454.1243,450913.8552
96992,20191204.0,1,서울특별시 강동구 고덕로10길 50 1층 103호 (암사동),5251.0,땅스부대찌개 암사점,211364.8642,450038.3959
97403,20201019.0,1,서울특별시 성동구 독서당로 223 상가동 지하4층 405호 (옥수동),4733.0,식사준비 옥수점,201153.9816,449188.9705
97441,20201020.0,1,서울특별시 광진구 용마산로 58 1층 (중곡동),4945.0,담꾹 신성시장점,207710.4563,450732.1191
97468,20210609.0,1,서울특별시 구로구 경인로47길 113 1층 101호 (고척동),8223.0,땅스부대찌개고척시장점,187861.9724,444613.5035
97485,20201021.0,1,서울특별시 영등포구 도신로29길 15 율산빌딩 1층 (도림동),7369.0,땅스부대찌개(도림점),191487.5683,445289.6321
97487,20210609.0,1,서울특별시 강서구 마곡중앙로 161-22 마곡일성트루엘플래닛 1층 106호 (마곡동),7788.0,집어가 마곡나루점,184503.0,451852.0
97514,20201022.0,1,서울특별시 노원구 상계로3길 34 이원빌딩 1층 일부호 (상계동),1693.0,담꾹 노원역점,205455.6425,461711.4736
97707,20201026.0,1,서울특별시 강남구 도곡로 516 지상1층 106호 (대치동),6282.0,땅스부대찌개 강남대치점,205509.9665,444112.26700000005
97864,20201028.0,1,서울특별시 노원구 동일로203가길 29 162호 (중계동 브라운스톤중계),1779.0,담꾹 중계브라운스톤점,205601.926,459732.1286
97884,20201029.0,1,서울특별시 송파구 백제고분로48길 23 1층 103호 (방이동),5632.0,땅스 부대찌개,210159.7733,445436.14200000005
97938,20210202.0,1,서울특별시 성동구 행당로 121 1층 (행당동),4714.0,담꾹,202791.2512,450675.4969
98003,20210202.0,1,서울특별시 노원구 동일로 1541 11단지종합상가 1층 114호 (상계동),1620.0,담꾹 마들역점,204962.0527,462608.5381
98261,20210209.0,1,서울특별시 강북구 월계로7길 63 1층 (미아동),1218.0,담꾹방천시장점,202931.0033,456736.9033
98262,20210209.0,1,서울특별시 강북구 솔샘로 238 1층 3호 (미아동),1194.0,담꾹솔샘점,201620.5611,457486.4727
98346,20201109.0,1,서울특별시 은평구 연서로29길 38 1층 (갈현동),3330.0,담꾹 연신내점,192556.4645,457535.4239
98373,20201109.0,1,서울특별시 강북구 도봉로67길 13 104호 (미아동),1118.0,담꾹수유시장점,202007.5111,458689.1025
98717,20201116.0,1,서울특별시 강동구 고덕로 399 메가스퀘어동 1층 154호 (고덕동 고덕센트럴푸르지오),5222.0,땅스부대찌개 고덕점,214958.71399999998,450615.471
98874,20201119.0,1,서울특별시 동대문구 답십리로 304 1층 8호 (장안동),2637.0,담꾹 장안점,206484.2336,452169.8713
99063,20201123.0,1,서울특별시 성북구 솔샘로4길 46 성신프라자 104호 (정릉동),2710.0,땅스부대찌개 정릉점,200584.52300000002,456246.311
99182,20201125.0,1,서울특별시 강동구 구천면로 428 108호 (명일동 센트로빌),5292.0,담꾹 명일역점,212845.8768,449772.4771
99229,20201126.0,1,서울특별시 광진구 면목로 132 1층 (중곡동),4908.0,담꾹 중곡시장점,207092.1589,451438.3229
99624,20210219.0,1,서울특별시 강남구 헌릉로569길 21-30 드림하이 오피스텔 지상1층 117호 (세곡동),6376.0,땅스부대찌개 세곡동지점,208829.0585,440468.0969
99652,20210210.0,1,서울특별시 성북구 보국문로11길 33 1층 (정릉동),2710.0,담꾹 정릉시장점,200652.6515,456246.2907
99829,20201208.0,1,서울특별시 노원구 공릉로 199 유성빌딩 1층 102호 (공릉동),1834.0,담꾹 공릉점,206844.7488,458326.0949
99922,20201210.0,1,서울특별시 노원구 한글비석로 245 두타빌 B동 113호 (중계동),1743.0,담꾹 중계은행사거리점,206670.8165,460805.1521
99927,20201210.0,1,서울특별시 마포구 월드컵로25길 26 101동 1층 1-034호 (망원동 마포영화블렌하임),3964.0,땅스부대찌개 망원월드컵시장점,191651.5293,450694.8035
100005,20210216.0,1,서울특별시 송파구 위례광장로 136 상가5동 1층 E-101호 (장지동 위례아이파크),5852.0,담꾹 위례중앙점,212469.0,441602.0
100017,20201211.0,1,서울특별시 구로구 디지털로31길 120 상가4동 1층 414호 (구로동 한신휴플러스아파트),8371.0,담꾹,190272.7473,442929.2831
100093,20201214.0,1,서울특별시 도봉구 해등로 190 121호 (쌍문동 신원주상복합2차아파트),1394.0,담꾹(쌍문점),203089.4428,461770.4888
100261,20201216.0,1,서울특별시 강동구 양재대로116길 27 102호 (길동),5343.0,담꾹 길동복조리시장점,212478.1235,448476.8723
100279,20201217.0,1,서울특별시 성동구 금호로 155 1층 (금호동2가),4723.0,담꾹 신금호점,201677.2311,450286.5624
100385,20210216.0,1,서울특별시 성북구 화랑로11길 13 1층 (하월곡동),2751.0,담꾹 하월곡점,203588.8503,455633.1205
100397,20210216.0,1,서울특별시 강서구 강서로 40 1층 (화곡동),7757.0,담꾹 까치산역점,186421.2757,447709.9892
100543,20201222.0,1,서울특별시 노원구 동일로 1672 수락빌딩 1층 오른쪽 1칸호 (상계동),1625.0,담꾹 수락산점,204832.7174,463908.6657
100587,20201223.0,1,서울특별시 도봉구 도봉로150길 43 1층 131호 (방학동 ESA 아파트),1332.0,담꾹 방학역점,203953.8337,462675.9505
101328,20210223.0,1,서울특별시 은평구 은평로 219-1 1층 (녹번동),3383.0,담꾹 녹번점,193942.9909,455451.412
